predicted_label,pvalue,enrichment
Pfam:CL0023,,0.01240694789081886
EC:3.-.-.-,,0.013812154696132596
GO:0005524,,0.009863429438543247
GO:0016887,,0.006593406593406593
GO:0030554,,0.009708737864077669
GO:0032559,,0.009665427509293681
GO:0043168,,0.011487650775416428
GO:0005488,,0.008224349467439666
GO:0097367,,0.009126466753585397
GO:0008144,,0.010825439783491205
GO:0009987,,0.007930214115781126
GO:0016787,,0.00867976244860667
GO:0008150,,0.0066309999246477284
GO:0005575,,0.006154603643525357
GO:1901363,,0.008406984263849967
GO:0016818,,0.008741258741258742
GO:0043167,,0.012466607301869992
GO:1901265,,0.01212471131639723
GO:0017111,,0.005136986301369863
GO:0000166,,0.012117714945181766
GO:0017076,,0.00888585099111415
GO:0097159,,0.00835296637395588
GO:0035639,,0.008990318118948824
GO:0032555,,0.008849557522123894
GO:0003674,,0.007426299602430425
GO:0032553,,0.009370816599732263
GO:0036094,,0.012980269989615784
GO:0016817,,0.008361204013377926
GO:0016462,,0.008944543828264758
GO:0003824,,0.009381663113006396
GO:0032991,,0.007891770011273957
GO:0008152,,0.009007720903631684
GO:0016779,,0.00847457627118644
GO:0044424,,0.006080259424402107
GO:0006807,,0.013629842180774749
GO:0071704,,0.011409785341326629
GO:0044464,,0.006992298338062424
GO:0016772,,0.012422360248447204
GO:0016788,,0.004291845493562232
GO:1901576,,0.022711631108052306
GO:0044238,,0.013773314203730272
GO:0044237,,0.011769651113913409
GO:0009058,,0.0189328743545611
GO:0005975,,0.016689847009735744
GO:0043170,,0.009125475285171103
GO:0140097,,0.007731958762886598
GO:0004518,,0.0
GO:0009059,,0.016845329249617153
Pfam:PF12833,,0.013888888888888888
Pfam:CL0123,,0.0024937655860349127
Pfam:CL0319,,0.0
GO:0016740,,0.011757789535567314
GO:0043565,,0.031914893617021274
GO:0003677,,0.0066090493136756485
GO:0003676,,0.006237006237006237
EC:1.1.-.-,,0.021739130434782608
GO:0140110,,0.012012012012012012
GO:0003700,,0.012779552715654952
EC:1.1.1.-,,0.023952095808383235
GO:0016491,,0.018207282913165267
GO:0016614,,0.03184713375796178
GO:0016616,,0.03816793893129771
Pfam:PF01979,,0.0
GO:0032787,,0.018518518518518517
EC:3.5.-.-,,0.010416666666666666
GO:0016810,,0.01098901098901099
GO:0009056,,0.018376722817764167
GO:1901575,,0.017513134851138354
Pfam:CL0382,,0.0
Pfam:CL0081,,0.0
Pfam:PF00589,,0.0
Pfam:CL0469,,0.0
GO:0015074,,0.00425531914893617
GO:0006259,,0.0051813471502590676
GO:0006310,,0.0
GO:0006725,,0.013804527885146328
GO:0044260,,0.011229314420803783
GO:0030260,,0.0064516129032258064
GO:0034641,,0.01404786680541103
GO:0019043,,0.0
GO:0044409,,0.0
GO:0051701,,0.004694835680751174
GO:0046483,,0.016175621028307337
GO:0090304,,0.007911392405063292
GO:0046718,,0.0
GO:0006139,,0.01257445400397088
GO:0044826,,0.0
GO:1901360,,0.016039823008849558
GO:0075713,,0.0
GO:0044403,,0.0
GO:0044419,,0.0
GO:0016032,,0.0
GO:0051704,,0.0012077294685990338
GO:0046872,,0.01524390243902439
GO:0043169,,0.014801657785671996
GO:0008270,,0.02
GO:0043231,,0.0
Pfam:PF14667,,0.0
GO:0050789,,0.010814249363867684
GO:0065007,,0.01
Pfam:PF13520,,0.0
Pfam:CL0222,,0.0
GO:0016021,,0.004723665564478035
GO:0031224,,0.004626416840157298
GO:0005886,,0.007739938080495356
GO:0044425,,0.005456132693147098
GO:0016020,,0.0062940584088620345
GO:0022857,,0.008743169398907104
GO:0051179,,0.007168458781362007
GO:0005215,,0.01015228426395939
GO:0022804,,0.0029411764705882353
GO:0051234,,0.009242144177449169
Pfam:PF01202,,0.0
EC:2.7.-.-,,0.017429193899782137
EC:2.-.-.-,,0.012738853503184714
EC:2.7.4.-,,0.0
GO:0016301,,0.01644736842105263
Pfam:PF01926,,0.0
GO:0016773,,0.012711864406779662
GO:0016776,,0.0
GO:0006793,,0.043596730245231606
GO:0019001,,0.0
GO:0032561,,0.0
GO:0001883,,0.0
GO:0001882,,0.0
GO:0032550,,0.0
GO:0032549,,0.0
GO:0005525,,0.0
Pfam:CL0290,,0.0
GO:0032196,,0.0
GO:0044444,,0.008832807570977918
GO:0003924,,0.0
EC:2.5.-.-,,0.044444444444444446
EC:2.5.1.-,,0.044444444444444446
EC:2.5.1.19,,0.0
GO:0009073,,0.09090909090909091
GO:0019438,,0.03896103896103896
GO:0003866,,0.0
GO:0009072,,0.07894736842105263
GO:0046394,,0.04522613065326633
GO:0019752,,0.028268551236749116
GO:0008652,,0.06015037593984962
GO:0006520,,0.03773584905660377
GO:0009423,,0.0
GO:0046417,,0.058823529411764705
GO:0044249,,0.024830699774266364
GO:0005737,,0.01642935377875137
GO:0043650,,0.0
GO:0043648,,0.05813953488372093
GO:0016053,,0.045
GO:0006082,,0.02572347266881029
GO:1901566,,0.04021937842778794
GO:1901362,,0.045023696682464455
GO:1901564,,0.0275049115913556
GO:0043436,,0.02702702702702703
