gene
ybfD
ybfQ
rhsB
rhsC
rhsA
ynfM
gnd
ybgQ
pdeC
yegR
hrpA
mdtC
lsrC
wzxC
malT
mutY
deaD
mtlD
nrdA
yghD
yiaO
aldB
ypjA
mtlR
mtlA
cirA
mdtA
nuoC
cysE
yjiA
ubiB
lyxK
rhsD
dgoT
selB
pflC
yjiN
yncD
cysA
pepD
tyrA
yiiX
hisD
xylF
putA
aroH
lsrB
yneE
thrC
ygcS
yibL
ybbO
yeeJ
flu
ybhF
adeQ
lldP
yidA
yghJ
rfbB
mdtB
dgcZ
flgF
chiP
mdtL
cpsG
wcaK
fcl
dgcE
rtcA
ybdJ
malS
ygcN
yafN
frsA
phoE
bisC
yhjX
yneG
dosP
yegI
yfjD
rluF
relA
wcaM
ynjB
sucA
ada
ycbV
rpnE
pnp
wcaJ
proA
crl
gpt
mtfA
msrQ
purD
ftsP
sgbU
ogrK
ppc
glpK
yiiM
galP
hypT
prc
mdtM
yqgA
yobA
yghE
yqhJ
ispH
yhjG
mdtD
nadR
yiaY
hyaB
yhjY
rutG
sgbH
bcsZ
dacC
ybjG
lon
clpA
acpH
citE
accC
ybdO
yraQ
gpmM
waaF
pyrG
barA
truC
leuA
fumB
soxR
pinR
ydeR
clcB
ynfQ
lsrD
ydhP
chbC
mipA
dtpA
puuA
yfcC
ydcK
insF2
insF4
insF5
insF3
insF1
proB
wcaL
tsx
insI1
insI3
insI2
wcaI
dinB
hemE
thiE
selA
rbsR
gudX
gudP
pta
cpdB
lsrR
lsrA
ydeT
yibT
dcm
fdhD
ybjJ
yliI
yhhQ
pepE
glgB
glgX
wcaC
ydhC
yegD
cmoM
yjjU
yceH
creB
yjtD
thrA
surA
ygiQ
cysC
pppA
yafP
hisB
amn
rplC
yeeN
zntR
yiiR
cpxP
syd
rlmD
soxS
pyrB
phnK
pdxY
ubiT
fadD
rimO
gstB
nagA
flgL
chiQ
flhB
yjdC
yqcA
yghO
queF
rdcB
yghF
wcaD
fieF
dcd
hemW
sgbE
cobT
yjjQ
nrdG
ynfK
holC
yqcC
yjiJ
grcA
yegL
ppa
intR
yjfF
yojO
glpF
lgoR
shiA
yhcD
creA
OBIOIDDG_02917
OBIOIDDG_02897
OBIOIDDG_02889
OBIOIDDG_02909
OBIOIDDG_02919
OBIOIDDG_02888
noc
OBIOIDDG_02916
OBIOIDDG_02894
OBIOIDDG_02895
OBIOIDDG_02898
OBIOIDDG_02901
OBIOIDDG_02903
OBIOIDDG_02907
OBIOIDDG_02908
OBIOIDDG_04524
OBIOIDDG_02915
gpFI_2
OBIOIDDG_01762
OBIOIDDG_02885
OBIOIDDG_02893
OBIOIDDG_02896
OBIOIDDG_02021
lsrB_2
epsH
OBIOIDDG_02918
lexA_2
OBIOIDDG_03498
OBIOIDDG_02884
OBIOIDDG_02886
OBIOIDDG_02906
OBIOIDDG_02905
hokE_1
KFNCAHIE_03812
yeeJ_2
KFNCAHIE_00735
intA_1
yeeJ_4
yhcR
aldB_2
KFNCAHIE_03543
yiaO_1
yeeJ_1
IGNMFJIE_01300
IGNMFJIE_01305
IGNMFJIE_01285
IGNMFJIE_01299
traR
IGNMFJIE_01275
ogrK_1
IGNMFJIE_01309
IGNMFJIE_01308
IGNMFJIE_01301
IGNMFJIE_01298
IGNMFJIE_01287
cybC
IGNMFJIE_00921
IGNMFJIE_04388
IGNMFJIE_01289
malZ
IGNMFJIE_01286
IGNMFJIE_01306
fes_2
fimI_1
MMGAIHAA_04577
HHONCHKM_02601
HHONCHKM_02591
HHONCHKM_02582
HHONCHKM_02580
NKBINAPL_04585
AEKNAGBD_03542
AEKNAGBD_03541
AEKNAGBD_03530
BOBJOEBK_00544
FGEOEIAF_01498
