n_neighbors,min_dist,n_components,random_state,metric,n_jobs,embedding
10,0.4,3,42,euclidean,8,"[[12.249359    3.0205097  -3.3893628 ]
 [ 1.450382    5.3864393   3.1907463 ]
 [ 0.23205216  2.1392407  -0.30386892]
 ...
 [ 6.845969   -0.38975102  7.906884  ]
 [13.5338745   6.8561797  11.485886  ]
 [ 4.016566   -2.5606499  10.012678  ]]"
15,0.4,3,42,euclidean,8,"[[10.324164    1.5951184   9.421428  ]
 [ 0.44377527 10.173051    3.1755605 ]
 [ 4.6419387  13.663758    3.9320009 ]
 ...
 [ 1.2566928   5.640193   -4.045332  ]
 [11.392163    6.4689445  -4.885876  ]
 [ 8.130505   10.254285   -0.7562459 ]]"
20,0.4,3,42,euclidean,8,"[[ 9.884722    7.741737    7.1608424 ]
 [15.502058   -6.16823     9.12524   ]
 [19.945765   -2.3379762   8.145795  ]
 ...
 [15.002586   -7.281645    0.95743394]
 [16.769901   -1.5835723  -4.9835563 ]
 [ 9.900028   -4.702401    3.5066614 ]]"
25,0.4,3,42,euclidean,8,"[[ 11.031964    2.2055147   2.782239 ]
 [ 21.245382    8.881323   -9.360535 ]
 [ 24.241228    9.567227   -4.7271056]
 ...
 [ 17.04263     5.4999275 -15.35778  ]
 [ 10.837279    7.784219  -13.601469 ]
 [ 14.087493   10.91157    -9.144747 ]]"
30,0.4,3,42,euclidean,8,"[[ -2.0156615  12.09296     7.7681475]
 [-14.448115    1.313557   -4.992767 ]
 [-16.152266    7.7423363  -3.8044713]
 ...
 [-19.457918    2.5773938 -10.901164 ]
 [-12.08817    11.886998   -8.331556 ]
 [-12.1444845   2.9031117 -10.539896 ]]"
5,0.5,3,42,euclidean,8,"[[-0.92330843  0.11185306 -2.5578446 ]
 [ 7.928389    6.447091   -0.09359594]
 [ 4.2647552   4.4350877  -5.491517  ]
 ...
 [ 3.7151887  11.31503    -0.5705372 ]
 [ 0.61142665  4.803736    6.3912206 ]
 [ 8.198123   14.265121    3.3146634 ]]"
10,0.5,3,42,euclidean,8,"[[11.4137945   1.7091144  -2.8220088 ]
 [ 1.7997351   5.638798    3.8093793 ]
 [ 0.6061573   1.7918892   0.5067081 ]
 ...
 [ 6.4660754  -0.15490706  8.851503  ]
 [13.32985     4.8667397  11.750974  ]
 [ 3.4856877  -2.7982607  10.125305  ]]"
15,0.5,3,42,euclidean,8,"[[10.073458    3.126034    8.580355  ]
 [ 0.89969236 11.525596    3.6671057 ]
 [ 5.5506988  14.085466    4.4165654 ]
 ...
 [-0.3678611   7.7169485  -3.832966  ]
 [ 9.150525    7.960055   -2.9778497 ]
 [ 2.9806578  12.879196   -4.779892  ]]"
20,0.5,3,42,euclidean,8,"[[11.685727   6.9938216  7.3628225]
 [16.967686  -6.191077   8.933349 ]
 [20.997803  -1.9118872  8.063761 ]
 ...
 [18.256187  -8.593738   0.6316366]
 [18.24998   -2.3669238 -5.7719855]
 [22.301369  -6.529229   2.7619772]]"
25,0.5,3,42,euclidean,8,"[[ 10.837248    0.3254869   2.159164 ]
 [ 24.18872     7.117475  -10.264544 ]
 [ 27.860577    4.805847   -5.7074666]
 ...
 [ 22.005758    6.7835994 -18.539186 ]
 [ 15.17104     5.852822  -17.29982  ]
 [ 17.073727   10.107209  -12.022447 ]]"
30,0.5,3,42,euclidean,8,"[[ -1.0943567  11.6513      6.0853534]
 [-21.086718    5.591415   -2.2560153]
 [-21.488222   11.039923   -0.7248765]
 ...
 [-13.755579    6.5848613  -6.7697887]
 [-15.374161   10.89548   -10.957055 ]
 [-19.97988     6.151736   -9.233475 ]]"
5,0.1,3,42,cosine,8,"[[ 5.3274107  9.878266   4.10297  ]
 [ 1.2270913  3.5132341  4.3968225]
 [ 9.264885   6.271225   3.8485844]
 ...
 [ 5.6803207  9.020807  -2.009017 ]
 [ 7.5140166  7.224599   4.2040954]
 [-4.7487097  7.118186  -1.7501498]]"
10,0.1,3,42,cosine,8,"[[10.27088     0.03917167  1.7947489 ]
 [ 6.3107333   6.5290923   6.105098  ]
 [ 3.324906    6.5397654   5.438215  ]
 ...
 [ 8.121431   -0.60337824 -3.1299016 ]
 [15.267861    7.617639   -2.297474  ]
 [12.536168   -2.1101856  15.825487  ]]"
15,0.1,3,42,cosine,8,"[[ 6.504857   2.8354805  1.4812921]
 [ 3.3565652  7.238807   6.973439 ]
 [ 0.5733222  6.2594433  6.3498287]
 ...
 [13.807772  -2.6310766 10.843976 ]
 [13.864589   0.3964491  2.832492 ]
 [14.763647   1.7045048 19.337881 ]]"
20,0.1,3,42,cosine,8,"[[ 0.62403136  1.3024477   3.448886  ]
 [-4.166053   -0.47388762  9.983877  ]
 [-7.54602    -0.41445956  9.822954  ]
 ...
 [-3.6760836   7.5509624  19.285782  ]
 [ 4.410488    1.7397724  -5.124754  ]
 [-1.0250963  17.223698    3.7773852 ]]"
25,0.1,3,42,cosine,8,"[[ 1.1096556   4.942607    6.3101244 ]
 [ 5.385729   -3.6072054  12.105992  ]
 [ 6.994967   -5.729586   10.110716  ]
 ...
 [ 4.521919   14.683041   -0.7256743 ]
 [ 0.04579674  2.161696   -6.3231077 ]
 [18.493137    2.5558863   2.4676929 ]]"
30,0.1,3,42,cosine,8,"[[ 9.706783    7.876281    9.695928  ]
 [16.280342   12.736887   16.361202  ]
 [14.869285   12.077379   19.340912  ]
 ...
 [ 8.142294    5.3110456  -5.4291205 ]
 [ 7.976363   15.540791    0.86393553]
 [10.814347   -8.3349905   9.010175  ]]"
5,0.2,3,42,cosine,8,"[[ 4.0899262   2.7212777  -5.4940224 ]
 [ 4.907297    1.611978    2.0039198 ]
 [ 1.6848232   8.362417   -0.71358603]
 ...
 [ 7.844599    1.4305078   9.591457  ]
 [12.576232    2.9573605   0.60786766]
 [ 3.1324089  -4.4323726  -3.8286605 ]]"
